HEADER|MTP1.00 |   1434069| 3665|        |XSHG01|20240328-16:29:59.629|0|E111    
MD001|000001|上证指数|       353200026| 392929088720.40|  2993.1388|  2988.5899|  3033.3666|  2984.1201|  3010.6636|  3010.6636|        |15:30:39.000
MD001|000002|Ａ股指数|       352910589| 392619497222.00|  3137.9148|  3133.1384|  3180.0332|  3128.4309|  3156.2214|  3156.2214|        |15:30:39.000
MD001|000003|Ｂ股指数|          234102|    144151873.40|   248.8426|   248.6608|   254.1532|   248.6385|   252.9425|   252.9425|        |15:30:39.000
MD001|000004|工业指数|       209092003| 274050765081.90|  2681.1177|  2677.7670|  2733.9540|  2677.7670|  2711.0014|  2711.0014|        |15:30:39.000
MD001|000005|商业指数|        33754788|  31036324679.80|  2337.9572|  2333.5281|  2360.7293|  2325.9989|  2338.7576|  2338.7576|        |15:30:39.000
MD001|000006|地产指数|         5700817|   3233112972.20|  4501.6536|  4487.4025|  4539.4083|  4481.5836|  4499.8714|  4499.8714|        |15:30:39.000
MD001|000007|公用指数|        29314753|  16668513724.70|  4274.0243|  4267.0585|  4319.8003|  4255.4608|  4301.6912|  4301.6912|        |15:30:39.000
MD001|000008|综合指数|        75337665|  67940372261.70|  2625.3732|  2620.2991|  2630.5538|  2601.3670|  2613.4413|  2613.4413|        |15:30:39.000
MD001|000009|上证380 |        57984468|  75299953941.00|  5011.6019|  5007.6782|  5101.7543|  5007.6782|  5061.8406|  5061.8406|        |15:30:39.000
MD001|000010|上证180 |        94953394| 133600033131.00|  7657.5189|  7644.4456|  7743.2702|  7622.8124|  7681.8402|  7681.8402|        |15:30:39.000
MD001|000011|基金指数|       636447078|  94283896576.00|  5881.1598|  5879.5598|  5970.3294|  5877.5048|  5924.1317|  5924.1317|        |15:30:39.000
MD001|000012|国债指数|        26792914|  27160543768.00|   209.8880|   209.9043|   210.0036|   209.9043|   210.0023|   210.0023|        |15:30:39.000
MD001|000015|红利指数|        33118233|  21210698684.00|  3062.5135|  3056.5723|  3068.6560|  3032.8809|  3053.3678|  3053.3678|        |15:30:39.000
MD001|000016|上证50  |        36870800|  59543019163.00|  2398.9372|  2395.2173|  2424.7673|  2387.4163|  2401.9872|  2401.9872|        |15:30:39.000
MD001|000017|新综指  |       344166542| 381994374898.00|  2529.1732|  2525.3276|  2563.1411|  2521.5243|  2543.9434|  2543.9434|        |15:30:39.000
MD001|000018|180金融 |        35784738|  27968281056.00|  4319.8410|  4311.5780|  4320.5437|  4269.6511|  4283.1572|  4283.1572|        |15:30:39.000
